make,model,year,complaintCount,riskFactor
Chevrolet,Silverado,2011,99,0.95
Chevrolet,Silverado,2012,91,0.95
Chevrolet,Silverado,2013,87,0.95
Chevrolet,Silverado,2014,195,1.0
Chevrolet,Silverado,2015,108,0.95
Chevrolet,Silverado,2016,8,0.9
Chevrolet,Silverado,2017,156,1.0
Chevrolet,Suburban,2010,159,1.0
Chevrolet,Suburban,2011,190,1.0
Chevrolet,Suburban,2012,139,0.95
Chevrolet,Suburban,2013,167,1.0
Chevrolet,Suburban,2014,76,0.95
Chevrolet,Suburban,2015,554,1.05
Chevrolet,Suburban,2016,247,1.0
Chevrolet,Suburban,2017,157,1.0
Chevrolet,Suburban,2018,83,0.95
Chevrolet,Suburban,2019,53,0.95
Chevrolet,Suburban,2020,29,0.9
Chevrolet,Suburban,2021,97,0.95
Chevrolet,Suburban,2022,40,0.9
Chevrolet,Suburban,2023,32,0.9
Chevrolet,Suburban,2024,1,0.9
Chevrolet,Tahoe,2010,399,1.05
Chevrolet,Tahoe,2011,569,1.05
Chevrolet,Tahoe,2012,249,1.0
Chevrolet,Tahoe,2013,301,1.05
Chevrolet,Tahoe,2014,113,0.95
Chevrolet,Tahoe,2015,833,1.1
Chevrolet,Tahoe,2016,304,1.05
Chevrolet,Tahoe,2017,181,1.0
Chevrolet,Tahoe,2018,96,0.95
Chevrolet,Tahoe,2019,106,0.95
Chevrolet,Tahoe,2020,32,0.9
Chevrolet,Tahoe,2021,259,1.0
Chevrolet,Tahoe,2022,100,0.95
Chevrolet,Tahoe,2023,55,0.95
Chevrolet,Tahoe,2024,12,0.9
Chevrolet,Traverse,2010,919,1.1
Chevrolet,Traverse,2011,944,1.1
Chevrolet,Traverse,2012,574,1.05
Chevrolet,Traverse,2013,292,1.0
Chevrolet,Traverse,2014,835,1.1
Chevrolet,Traverse,2015,394,1.05
Chevrolet,Traverse,2016,359,1.05
Chevrolet,Traverse,2017,387,1.05
Chevrolet,Traverse,2018,483,1.05
Chevrolet,Traverse,2019,379,1.05
Chevrolet,Traverse,2020,158,1.0
Chevrolet,Traverse,2021,58,0.95
Chevrolet,Traverse,2022,67,0.95
Chevrolet,Traverse,2023,44,0.9
Chevrolet,Traverse,2024,45,0.9
Chevrolet,Trax,2015,135,0.95
Chevrolet,Trax,2016,154,1.0
Chevrolet,Trax,2017,153,1.0
Chevrolet,Trax,2018,123,0.95
Chevrolet,Trax,2019,150,0.95
Chevrolet,Trax,2020,83,0.95
